"","dae","year","partyname","pvotes","prvotes","prvoteshare","yearvoteshare","partyadjvoteshare","englishpartyname","cons_or_not"
"1",13,1988,"민주정의당",87,224,38.8392857142857,95.5357142857143,40.6542056074766,"democracyjustice",1
"2",13,1988,"신민주공화당",27,224,12.0535714285714,95.5357142857143,12.6168224299065,"newdemocracy",1
"3",13,1988,"통일민주당",46,224,20.5357142857143,95.5357142857143,21.4953271028037,"0",0
"4",13,1988,"평화민주당",54,224,24.1071428571429,95.5357142857143,25.2336448598131,"0",0
"5",14,1992,"민주자유당",116,237,48.9451476793249,90.7172995780591,53.953488372093,"democracyfreedom",1
"6",14,1992,"통일국민당",24,237,10.126582278481,90.7172995780591,11.1627906976744,"unifiedpeople",1
"7",14,1992,"통합민주당",75,237,31.6455696202532,90.7172995780591,34.8837209302326,"0",0
"8",15,1996,"새정치국민회의",4971961,19653073,25.2986441357034,87.2222883413703,29.0047929454563,"0",0
"9",15,1996,"신한국당",6783730,19653073,34.5174009174036,87.2222883413703,39.5740602245031,"newkorea",1
"10",15,1996,"자유민주연합",3178474,19653073,16.1729109742787,87.2222883413703,18.5421768699546,"freedomdemocracyteam",1
"11",15,1996,"통합민주당",2207695,19653073,11.2333323139847,87.2222883413703,12.878969960086,"0",0
"12",16,2000,"민주국민당",695423,18904740,3.67856421193838,88.3415376249554,4.16402556581631,"0",0
"13",16,2000,"새천년민주당",6780625,18904740,35.8673274533265,88.3415376249554,40.6007506973644,"0",0
"14",16,2000,"자유민주연합",1859331,18904740,9.83526353708118,88.3415376249554,11.1332265675924,"freedomdemocracyteam",1
"15",16,2000,"한나라당",7365359,18904740,38.9603824226094,88.3415376249554,44.1019971692269,"onenation",1
"16",17,2004,"민주노동당",2774061,21285984,13.032336207713,94.1639484460761,13.8400485778016,"0",0
"17",17,2004,"신천년민주당",1510178,21285984,7.09470607513376,94.1639484460761,7.53441863071047,"0",0
"18",17,2004,"열린우리당",8145824,21285984,38.2684869066894,94.1639484460761,40.6402742644168,"0",0
"19",17,2004,"한나라당",7613660,21285984,35.7684192565399,94.1639484460761,37.985258527071,"onenation",1
"20",18,2008,"민주노동당",973445,17415920,5.58939751675479,90.681531610159,6.16376611368197,"0",0
"21",18,2008,"자유선진당",1173463,17415920,6.7378754610724,90.681531610159,7.43026208471931,"freedomadvance",1
"22",18,2008,"창조한국당",651993,17415920,3.74366097225986,90.681531610159,4.12836098573402,"creativekorea",1
"23",18,2008,"친박연대",2258750,17415920,12.9694555326391,90.681531610159,14.3022016747522,"propark",1
"24",18,2008,"통합민주당",4313645,17415920,24.7684015544398,90.681531610159,27.3136118398612,"0",0
"25",18,2008,"한나라당",6421727,17415920,36.872740572993,90.681531610159,40.6617973012513,"onenation",1
"26",19,2012,"민주통합당",7775737,21327600,36.4585654269585,92.8041036028433,39.2855100276422,"0",0
"27",19,2012,"새누리당",9129226,21327600,42.8047506517377,92.8041036028433,46.1237693054192,"saenuri",1
"28",19,2012,"자유선진당",689843,21327600,3.23450833661547,92.8041036028433,3.48530744982743,"freedomadvance",1
"29",19,2012,"통합진보당",2198082,21327600,10.3062791875316,92.8041036028433,11.1054132171111,"0",0
"30",20,2016,"새누리당",7960272,24430746,32.5830083125583,90.4822104081472,36.0104026698539,"saenuri",1
"31",20,2016,"더불어민주당",6069744,24430746,24.8446936495513,90.4822104081472,27.4580976055755,"0",0
"32",20,2016,"국민의당",6355572,24430746,26.0146456436492,90.4822104081472,28.7511164087419,"0",0
"33",20,2016,"정의당",1719891,24430746,7.03986280238843,90.4822104081472,7.78038331582862,"0",0
