"","year","cons_or_not","nationwidevote"
"1",1988,"0",44.6512444185959
"2",1988,"1",49.7791375864963
"3",1988,"2",14.0716759785439
"4",1992,"0",32.4577098750374
"5",1992,"1",54.0989589117153
"6",1992,"2",20.7355837287903
"7",1996,"0",35.8367571750655
"8",1996,"1",50.4691672401473
"9",1996,"2",16.9629547904896
"10",1998,"0",28.5431738586146
"11",1998,"1",63.7599023426216
"12",1998,"2",17.4817313231607
"13",1999,"0",49.7283737221424
"14",1999,"1",74.6076072823215
"15",1999,"2",2.78382873670294
"16",2000,"0",40.9794318261714
"17",2000,"1",47.819098150291
"18",2000,"2",17.7476660202864
"19",2001,"0",30.8424715420416
"20",2001,"1",49.8313109239819
"21",2001,"2",19.6325039368687
"22",2002,"0",35.250153649215
"23",2002,"1",46.7285338330937
"24",2002,"2",18.5727355558592
"25",2003,"0",49.8844118606156
"26",2003,"1",48.7135976547027
"27",2003,"2",2.80398096936337
"28",2004,"0",56.0308270022376
"29",2004,"1",38.4310403880824
"30",2004,"2",9.26212072491105
"31",2005,"0",43.5935107013975
"32",2005,"1",48.6561539433176
"33",2005,"2",11.9935837410307
"34",2006,"0",49.6628106265752
"35",2006,"1",43.978564925629
"36",2006,"2",15.8965611194894
"37",2007,"0",31.8140668603063
"38",2007,"1",55.3809458833735
"39",2007,"2",38.4149617689605
"40",2008,"0",36.3252567291647
"41",2008,"1",50.1882429500504
"42",2008,"2",28.1429411907391
"43",2009,"0",37.6600360455996
"44",2009,"1",37.0051357072748
"45",2009,"2",30.0423327528255
"46",2010,"0",52.1676172273486
"47",2010,"1",54.34206921535
"48",2010,"2",10.9856811995062
"49",2011,"0",45.4095677549678
"50",2011,"1",49.667695678443
"51",2011,"2",32.2179526891053
"52",2012,"0",44.4626337941164
"53",2012,"1",44.7301107205695
"54",2012,"2",16.6648957546667
"55",2013,"0",24.43128001251
"56",2013,"1",63.4297273574506
"57",2013,"2",60.6949631501967
"58",2014,"0",50.1331877144254
"59",2014,"1",47.9472853640638
"60",2014,"2",14.384099833667
"61",2015,"0",38.0914534019558
"62",2015,"1",41.2455189483229
"63",2015,"2",27.5507035329617
"64",2016,"0",52.1975265473969
"65",2016,"1",37.7615146407089
"66",2016,"2",19.2052175340122
